timestamp,open,high,low,close
2025-01-02,2624.835,2660.445,2621.895,2658.01
2025-01-03,2658.38,2665.35,2637.03,2638.26
2025-01-06,2640.63,2649.405,2615.265,2636.085
2025-01-07,2634.475,2664.255,2633.075,2648.735
2025-01-08,2648.545,2669.955,2645.325,2662.1
2025-01-09,2661.585,2678.08,2655.75,2670.36
2025-01-10,2670.63,2697.89,2664.3,2690.62
2025-01-13,2690.6,2693.34,2656.92,2663.045
2025-01-14,2663.68,2678.27,2659.99,2677.36
2025-01-15,2677.395,2697.3,2669.48,2696.525
2025-01-16,2698.81,2724.74,2690.14,2714.685
2025-01-17,2714.79,2717.425,2700.085,2700.865
2025-01-20,2703.33,2713.87,2689.54,2706.425
2025-01-21,2707.56,2745.91,2703.07,2744.81
2025-01-22,2744.865,2763.41,2742.025,2756.305
2025-01-23,2756.245,2758.805,2736.055,2754.885
2025-01-24,2754.605,2785.745,2753.775,2771.105
2025-01-27,2770.8,2772.6,2730.62,2740.93
2025-01-28,2740.295,2765.025,2734.895,2763.89
2025-01-29,2763.055,2766.185,2745.105,2759.62
2025-01-30,2759.605,2798.425,2758.315,2794.195
2025-01-31,2793.73,2817.17,2791.2,2801.28
2025-02-03,2801.65,2830.49,2772.47,2815.0
2025-02-04,2814.715,2845.43,2807.39,2842.58
2025-02-05,2841.955,2882.275,2839.885,2866.67
2025-02-06,2866.63,2873.225,2834.395,2856.035
2025-02-07,2856.585,2886.825,2852.805,2860.655
2025-02-10,2858.98,2911.255,2855.025,2908.045
2025-02-11,2908.04,2942.66,2882.06,2897.58
2025-02-12,2897.61,2909.06,2864.78,2903.91
2025-02-13,2904.395,2929.53,2900.81,2928.14
2025-02-14,2927.945,2940.06,2877.16,2885.16
2025-02-17,2884.98,2906.365,2878.915,2899.265
2025-02-18,2898.87,2936.95,2892.18,2935.29
2025-02-19,2935.52,2946.91,2918.95,2932.94
2025-02-20,2933.46,2954.88,2924.63,2939.675
2025-02-21,2938.78,2949.79,2917.07,2934.92
2025-02-24,2934.13,2956.18,2921.55,2952.76
2025-02-25,2952.545,2953.585,2889.525,2914.995
2025-02-26,2914.99,2930.16,2891.14,2916.38
